ID,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,ID_Count,Platform_Count,Activity_Type_Count,USD_Adjusted_Amount,Subscription Duration,Normalized Purchase Amount,Language_ARA,Language_CHI,Language_DAR,Language_DEU,Language_EBR,Language_ENG,Language_ESC,Language_ESP,Language_FAR,Language_FRA,Language_GLE,Language_GRK,Language_HEB,Language_HIN,Language_IND,Language_ITA,Language_JPN,Language_KIS,Language_KOR,Language_LAT,Language_NED,Language_PAS,Language_POL,Language_POR,Language_RUS,Language_SVE,Language_TGL,Language_TUR,Language_URD,Language_VIE
4,Limited,INITIAL_PURCHASE,App,0,,11/7/19,2/7/20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,14,0,0,0,0,38,1,4,,92,-0.018506563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Limited,RENEWAL,Web,79,USD,7/21/19,11/11/19,Yes,No,Off,Other,Consumer,App,Yes,Yes,2,0,0,0,0,37,1,4,79,113,-0.018506301,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Limited,RENEWAL,App,0,,3/21/20,3/6/21,No,Yes,On,US/Canada,Consumer,App,No,Yes,1,0,0,0,0,23,1,3,,350,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Limited,INITIAL_PURCHASE,App,0,,9/1/19,3/1/20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,15,0,0,0,0,13,1,4,,182,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Limited,INITIAL_PURCHASE,App,0,,12/29/19,3/29/20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,10,1,0,1,0,14,1,4,,91,-0.018506563,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Limited,RENEWAL,Web,35.97,USD,10/1/19,7/1/20,No,No,On,Other,Other,Unknown,No,No,3,1,0,1,0,1,0,0,35.97,274,-0.018506444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Limited,RENEWAL,App,0,,3/27/20,8/14/20,No,No,On,US/Canada,Consumer,Web,Yes,Yes,3,1,0,1,0,33,1,4,,140,-0.018506563,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Limited,RENEWAL,App,0,,10/16/18,7/18/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,1,0,0,0,0,21,1,4,,641,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Limited,INITIAL_PURCHASE,Web,0,USD,12/12/18,6/12/19,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0,11,2,2,0,182,-0.018506563,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Limited,INITIAL_PURCHASE,App,44990000,USD,2/7/19,5/29/20,No,No,On,Other,Other,Unknown,No,No,10,1,0,1,0,1,0,0,44990000,477,0.130686907,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Lifetime,INITIAL_PURCHASE,Web,199,USD,3/7/20,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,6,1,0,1,0,5,1,2,199,28789,-0.018505903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Limited,INITIAL_PURCHASE,App,0,,11/10/19,2/10/20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,14,0,0,0,0,35,1,4,,92,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Limited,INITIAL_PURCHASE,Web,34.64,USD,12/3/19,3/3/20,No,No,Off,Other,Other,Unknown,No,No,10,0,0,0,0,1,0,0,34.64,91,-0.018506448,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Limited,RENEWAL,App,0,,8/16/19,5/16/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,1,0,0,0,0,19,1,4,,274,-0.018506563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,Limited,INITIAL_PURCHASE,App,0,,1/26/19,1/26/20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,1,0,0,0,0,21,1,4,,365,-0.018506563,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Limited,INITIAL_PURCHASE,App,0,,11/27/19,2/27/20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,10,0,0,0,0,9,1,4,,92,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Limited,INITIAL_PURCHASE,App,0,,10/12/19,1/12/20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,15,0,0,0,0,29,1,4,,92,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Limited,INITIAL_PURCHASE,App,0,,3/18/20,2/5/21,Yes,No,On,Europe,Consumer,App,No,Yes,1,0,0,0,0,16,1,4,,324,-0.018506563,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Limited,RENEWAL,App,36673271.5,GBP,7/5/19,7/5/20,Yes,No,On,Europe,Consumer,App,Yes,Yes,5,0,0,0,0,30,1,4,36673271.5,366,0.10310741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,Limited,RENEWAL,Web,35.97,USD,9/22/19,6/22/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,4,0,0,0,0,32,1,4,35.97,274,-0.018506444,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
